店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
鉄板焼 ふじいさん ,050-5487-8018,,香川県,高松市瓦町,1-4-13,,https://takamatsu-fujiisan.gorp.jp/,True
牛たん屋 BERO ,050-5488-1378,,香川県,高松市今新町,8-17,,https://s504400.gorp.jp/,True
焼肉なかむら 香川町本店 ,087-879-8929,,香川県,高松市香川町大野,444-14,,https://yakiniku-nakamura.gorp.jp/,True
四国・讃岐 ぴかでり屋 ,050-5485-6524,,香川県,高松市福田町,9-5,,https://piccadilly-ya.gorp.jp/,True
寿し×海鮮酒場 酔灯屋 ,050-5487-6382,,香川県,高松市西の丸町,13-7,3F,https://sushi-kaisen-suitouya.gorp.jp/,True
炭火極味焼肉 英（ハナフサ） 本店,050-5487-3317,,香川県,高松市福田町,8-1,山崎ビル1F,https://yakiniku-hanahusa.gorp.jp/,True
IZAKAYA 時々jiji 高瀬店,050-5487-0844,,香川県,三豊市高瀬町比地,113-1,,https://s455601.gorp.jp/,True
ステーキハウス 听 高松店,050-5484-1561,,香川県,高松市丸ノ内,11-9,大内ビル1F,https://ka9u125.gorp.jp/,True
炭焼 肉の近どう 丸亀店 ,0877-35-8989,,香川県,丸亀市今津町,560,,https://s436712.gorp.jp/,True
カルビ屋 大福 高松東バイパス店,050-5486-7898,,香川県,高松市伏石町,2166-9,,https://karubiyadaifukuhigashibaipasuten.gorp.jp/,True
IZAKAYA 時々jiji 観音寺店,050-5487-0831,,香川県,観音寺市昭和町,1-8-39,,https://s455600.gorp.jp/,True
瀬戸内鮮魚地鶏屋 高松鍛冶屋町店,050-5487-9663,,香川県,高松市鍛冶屋町,4-21,ワンフットビル1F,https://dining-kitchen-zab.gorp.jp/,True
四国・讃岐 ぴかでり屋 ,050-5485-6524,,香川県,高松市福田町,9-5,,https://piccadilly-ya.gorp.jp/,True
焼肉なかむら 香川町本店 ,087-879-8929,,香川県,高松市香川町大野,444-14,,https://yakiniku-nakamura.gorp.jp/,True
中国酒家 ,050-5486-6354,,香川県,高松市常磐町,2-2-1,グレートサクセスビル1F,https://takamatsu-chugokushuka.gorp.jp/,True
個室居酒屋 くいもの屋わん 高松南新町店,050-5484-3178,,香川県,高松市南新町,1-4,富田ビル2F,https://wan-takamatsu.gorp.jp/,True
古今 ,050-5494-5647,,香川県,高松市瓦町,1-3-14,,https://s537600.gorp.jp/,True
