店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
カルビ屋 大福 高松東バイパス店,050-5486-7898,,香川県,高松市伏石町,2166-9,,https://karubiyadaifukuhigashibaipasuten.gorp.jp/?_gl=1*1e9xi4c*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTkzOS4xNi4wLjA.,True
RISTORANTE Ci vediamo,050-5493-0847,,香川県,高松市瓦町,2-2-41,瀬戸ビル2F,https://s568100.gorp.jp/?_gl=1*10yc27e*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk0NC4xMS4wLjA.,True
IZAKAYA 時々jiji 高瀬店,050-5487-0844,,香川県,三豊市高瀬町比地,113-1,,https://s455601.gorp.jp/?_gl=1*ja78ye*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk0OS42LjAuMA..,True
瀬戸内フレンチAura（アウラ）,087-831-0118,,香川県,高松市北浜町,3-2,,https://s525701.gorp.jp/?_gl=1*1ojap0z*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk1NS42MC4wLjA.,True
イカの姿造り×九州料理 個室居酒屋 弁慶 高松瓦町店,050-5486-7096,,香川県,高松市丸亀町,12-7,,https://benkei-takamatsu.gorp.jp/?_gl=1*1agxp2j*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk2MS41NC4wLjA.,True
三代目鳥メロ 高松南新町店,050-5492-3969,,香川県,高松市南新町,12-5,タカラヤビル3F,https://s029103.gorp.jp/?_gl=1*1ypsyzk*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk2OC40Ny4wLjA.,True
全席完全個室 炭火極味焼肉 英（ハナフサ） 三条店,050-5487-8969,,香川県,高松市三条町,72,,https://hanafusa-sanzyo.gorp.jp/?_gl=1*1tqe1sf*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk3My40Mi4wLjA.,True
居楽屋白木屋 坂出駅前店,0877-44-2688,,香川県,坂出市元町,1-1-1,坂出駅高架下1F,https://s026003.gorp.jp/?_gl=1*18wryux*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk3OS4zNi4wLjA.,True
カルビ屋大福 丸亀南店,050-5494-1283,,香川県,丸亀市川西町南,1280-1,フジグラン丸亀別棟,https://s419408.gorp.jp/?_gl=1*190zghr*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk4NS4zMC4wLjA.,True
焼肉なかむら 香川町本店,087-879-8929,,香川県,高松市香川町大野,444-14,,https://yakiniku-nakamura.gorp.jp/?_gl=1*1h2fcdo*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk5MS4yNC4wLjA.,True
グリル ア ターブル（Grill a Table）,050-5487-3361,,香川県,高松市鍛冶屋町,4-1,フェスタビル2F,https://grill-a-table.gorp.jp/?_gl=1*5tfr2u*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNTk5Ni4xOS4wLjA.,True
ステーキハウス 听 高松店,050-5484-1561,,香川県,高松市丸ノ内,11-9,大内ビル1F,https://ka9u125.gorp.jp/?_gl=1*1b4hmdq*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjAwMi4xMy4wLjA.,True
魚料理 おか,050-5488-5158,,香川県,高松市内町,3-3,山ビル1F,https://s512600.gorp.jp/?_gl=1*17oevzp*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjAwNy44LjAuMA..,True
樹里庵,0877-62-2229,,香川県,善通寺市善通寺町,2-5-18,,https://s545900.gorp.jp/?_gl=1*1qsx2hs*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjAxMy4yLjAuMA..,True
Nord un（ノーアン）,050-5486-2176,,香川県,高松市大工町,1-7,大利根ビル1F,https://s580000.gorp.jp/?_gl=1*i1aos2*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjAxOC42MC4wLjA.,True
古今,050-5494-5647,,香川県,高松市瓦町,1-3-14,,https://s537600.gorp.jp/?_gl=1*tlu3rs*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjAyMy41NS4wLjA.,True
個室居酒屋 くいもの屋わん 高松南新町店,050-5484-3178,,香川県,高松市南新町,1-4,富田ビル2F,https://wan-takamatsu.gorp.jp/?_gl=1*fxmjrd*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjAyOS40OS4wLjA.,True
チーズサムギョプサル＆ロングユッケ寿司 MoiM 高松店,050-5492-6493,,香川県,高松市鍛冶屋町,4-20,,https://s562400.gorp.jp/?_gl=1*f8j05j*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjAzNS40My4wLjA.,True
中国酒家,050-5486-6354,,香川県,高松市常磐町,2-2-1,グレートサクセスビル1F,https://takamatsu-chugokushuka.gorp.jp/?_gl=1*uhb07d*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjA0MC4zOC4wLjA.,True
ぴこぴこ精肉店 瓦町,050-5493-1326,,香川県,高松市瓦町,2-10-18,,https://s563500.gorp.jp/?_gl=1*ob97t1*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjA0Ni4zMi4wLjA.,True
北角（ノースポイント）,050-5485-2481,,香川県,高松市西の丸町,1-26,大川バスビルB1,https://north-point.gorp.jp/?_gl=1*kp0j9y*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjA1Mi4yNi4wLjA.,True
イタ飯酒場 Salute,050-5487-1318,,香川県,高松市磨屋町,8-4,植村ビル1F,https://salute-salute.gorp.jp/?_gl=1*iu7d81*_ga*NTMxODA0OTI5LjE2ODA2MzU3NzI.*_ga_L9BHK8C28C*MTY4MDYzNTc3My4xLjEuMTY4MDYzNjA1OC4yMC4wLjA.,True
